1.320533 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.328866 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.3372 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.345534 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.353867 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.362201 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.370535 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.378868 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.387202 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.395535 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.403869 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.412203 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.421303 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.429637 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.43797 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.446304 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.454638 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.462971 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.471305 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.479639 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.487972 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.496306 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.50464 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.51416 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.522493 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.530827 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.540931 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.549265 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.557598 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.565932 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.574266 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.5826 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.590934 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.599267 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.607601 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.615936 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.624269 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.632603 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.640937 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.64927 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.657604 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

1.665937 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000 0.000000, -0.000000, 0.000000 -0.000000, -0.000000, -0.000000

